name	saleprice	regularprice	image
10 CM ELECTRIC SPARKLERS	15	60	"https://amsakthipyropark.com/wp-content/uploads/2024/07/57.png, https://amsakthipyropark.com/wp-content/uploads/2024/07/1000057837-scaled.jpg"
10 CM GREEN SPARKLERS	18.75	75	"https://amsakthipyropark.com/wp-content/uploads/2024/07/74.png, https://amsakthipyropark.com/wp-content/uploads/2024/07/1000057831-scaled.jpg"
10 CM RED SPARKLERS	23.75	95	"https://amsakthipyropark.com/wp-content/uploads/2024/07/76.png, https://amsakthipyropark.com/wp-content/uploads/2024/07/1000057835-1-scaled.jpg"
12 CM ELECTRIC SPARKLERS	24.5	98	https://amsakthipyropark.com/wp-content/uploads/2024/07/65.png
12 CM COLOR SPARKLERS	26	104	https://amsakthipyropark.com/wp-content/uploads/2024/07/89.png
12 CM GREEN SPARKLERS	27.5	110	https://amsakthipyropark.com/wp-content/uploads/2024/07/86.png
12 CM RED SPARKLERS	31.25	125	https://amsakthipyropark.com/wp-content/uploads/2024/07/76.png
15 CM ELECTRIC SPARKLERS	37	148	https://amsakthipyropark.com/wp-content/uploads/2024/07/82.png
15 CM COLOR SPARKLERS	40	160	https://amsakthipyropark.com/wp-content/uploads/2024/07/80.png
15 CM GREEN SPARKLERS	30	120	https://amsakthipyropark.com/wp-content/uploads/2024/07/75.png
30 CM ELECTRIC SPARKLERS	37.5	150	https://amsakthipyropark.com/wp-content/uploads/2024/07/69.png
15 CM COLOR SPARKLERS	40	160	https://amsakthipyropark.com/wp-content/uploads/2024/07/81.png
30 CM GREEN SPARKLERS	45	180	https://amsakthipyropark.com/wp-content/uploads/2024/07/90.png
30 CM RED SPARKLERS	48.75	195	https://amsakthipyropark.com/wp-content/uploads/2024/07/93.png
50 CM ELECTRIC SPARKLERS	300	1200	https://amsakthipyropark.com/wp-content/uploads/2024/07/71.png
50 CM COLOR SPARKLERS	195	780	https://amsakthipyropark.com/wp-content/uploads/2024/07/89.png
75 CM ELECTRIC SPARKLERS	237.5	950	https://amsakthipyropark.com/wp-content/uploads/2024/07/81.png
75 CM COLOR SPARKLERS	245	980	https://amsakthipyropark.com/wp-content/uploads/2024/07/64.png
RED BIJILI CRACKERS (100PCS)	42.5	170	https://amsakthipyropark.com/wp-content/uploads/2024/07/95.png
STRIPPED BIJILI CRACKERS (100PCS)	31.25	125	https://amsakthipyropark.com/wp-content/uploads/2024/07/94.png
RED BIJILI CRACKERS (50PCS)	30	120	https://amsakthipyropark.com/wp-content/uploads/2024/07/95.png
STRIPPED BIJILI CRACKERS (50 PCS)	42.5	170	https://amsakthipyropark.com/wp-content/uploads/2024/07/2.png
TAMILNADU	112.5	450	https://amsakthipyropark.com/wp-content/uploads/2024/07/168.png
KARNATAKA	112.5	450	https://amsakthipyropark.com/wp-content/uploads/2024/07/167.png
RAJASTHAN	112.5	450	https://amsakthipyropark.com/wp-content/uploads/2024/07/36.png
KERALA	112.5	450	https://amsakthipyropark.com/wp-content/uploads/2024/07/34.png
GUJARATH	112	450	https://amsakthipyropark.com/wp-content/uploads/2024/07/169.png
ELITE GREEN	237.5	950	
POP MUSIC	237.5	950	
COLOUR DREAMS	237.5	950	
SELFIE	237.5	950	https://amsakthipyropark.com/wp-content/uploads/2024/07/166.png
"31/2"" MULTICOLOUR SHOT"	245	980	
AEROLIN	775	3100	
NAYAGARA	775	3100	
SUNRISE	775	3100	
YELLOW	775	3100	
"8"" CHOTTA MULTICOLOUR"	41.25	165	
MINI CHOTTA	21.25	85	
SKY SHOT (10 PCS)	150	600	
SKY CRACKLING (10 PCS)	200	800	
12 SHOT RIDER	150	600	
25 SHOT CRACKLING	220	880	
50 SHOT CRACKLING	400	1600	
MAGICHIPES	150	600	
1 K DIGITAL LAR	200	800	https://amsakthipyropark.com/wp-content/uploads/2024/07/1000093171-scaled.jpg
1 K TO 2 K DIGITAL LAR	262.5	1050	https://amsakthipyropark.com/wp-content/uploads/2024/07/149.png
LION BOMB	50	200	
TIGER BOMB	42.5	170	https://amsakthipyropark.com/wp-content/uploads/2024/07/211.png
K.G.F. BOMB	38.75	155	
20 ITEMS	87.5	350	
25 ITEMS	112.5	450	
30 ITEMS	135	540	
35 ITEMS	162.5	650	
42 ITEMS	187.5	750	
50 ITEMS	225	900	
60 ITEMS	262.5	1050	
JIL JIL (100 PCE) (Copy)	375	1500	https://amsakthipyropark.com/wp-content/uploads/2024/07/206.png
AGGNI BOM	200	800	https://amsakthipyropark.com/wp-content/uploads/2024/07/1000149006.jpg
